Detailed Statistics Arrivals  ,,,,,
Destination Airport: Dallas,,,,,
Airline: Southwest Airlines Co. (WN),,,,,
Month(s): January,,,,,
Day(s): 14,,,,,
Year(s): 2021,,,,,
DATA SET #2,,,,,
Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Actual Arrival Time
WN,5/14/2021,270,N8642E,MDW,10:22
WN,5/14/2021,276,N935WN,SAV,15:20
WN,5/14/2021,284,N292WN,LGB,15:54
WN,5/14/2021,311,N8509U,AUS,10:27
WN,5/14/2021,312,N8501V,ECP,11:46
WN,5/14/2021,313,N8603F,LIT,16:49
WN,5/14/2021,322,N8710M,PHX,14:18
WN,5/14/2021,363,N8509U,DEN,20:02
WN,5/14/2021,371,N8660A,DEN,19:23
WN,5/14/2021,378,N913WN,BWI,8:24
WN,5/14/2021,379,N913WN,LBB,12:18
WN,5/14/2021,382,N556WN,SAT,6:19
WN,5/14/2021,414,N8583Z,LAS,11:59
WN,5/14/2021,476,N751SW,AUS,12:29
WN,5/14/2021,478,N929WN,COS,9:57
WN,5/14/2021,511,N925WN,AUS,19:05
WN,5/14/2021,520,N8722L,BNA,18:07
WN,5/14/2021,548,N946WN,AMA,18:36
WN,5/14/2021,549,N963WN,MSY,9:32
WN,5/14/2021,562,N7888A,SAT,9:01
WN,5/14/2021,563,N7888A,CHS,15:07
WN,5/14/2021,571,N8528Q,MKE,13:00
WN,5/14/2021,574,N478WN,ELP,19:34
WN,5/14/2021,607,N204WN,BHM,7:48
WN,5/14/2021,637,N711HK,IAH,12:23
WN,5/14/2021,654,N906WN,BHM,16:55
WN,5/14/2021,673,N417WN,ABQ,20:29
WN,5/14/2021,688,N249WN,DCA,19:19
WN,5/14/2021,700,N250WN,SAN,14:24
WN,5/14/2021,723,N711HK,DEN,8:56
WN,5/14/2021,753,N8664J,SDF,12:39
WN,5/14/2021,768,N7833A,MDW,20:31
WN,5/14/2021,776,N8603F,FLL,8:33
WN,5/14/2021,777,N8603F,MAF,12:31
WN,5/14/2021,780,N8722L,LAS,10:29
WN,5/14/2021,796,N8694E,DEN,12:56
WN,5/14/2021,800,N8573Z,ATL,7:44
WN,5/14/2021,803,N473WN,CMH,15:27
WN,5/14/2021,815,N8529Z,ECP,18:33
WN,5/14/2021,861,N8607M,RSW,10:57
WN,5/14/2021,875,N7865A,FLL,21:49
WN,5/14/2021,889,N499WN,STL,10:38
WN,5/14/2021,896,N484WN,LBB,7:04
WN,5/14/2021,930,N233LV,IAH,6:55
WN,5/14/2021,944,N930WN,PNS,13:04
WN,5/14/2021,946,N930WN,MSY,17:36
WN,5/14/2021,1013,N246LV,ORD,14:46
WN,5/14/2021,1080,N7850B,VPS,19:47
WN,5/14/2021,1081,N7850B,SAT,23:02
WN,5/14/2021,1101,N7851A,MCO,23:27
WN,5/14/2021,1105,N7725A,LAX,10:30
WN,5/14/2021,1119,N7820L,SAN,22:02
WN,5/14/2021,1132,N291WN,LAX,19:35
WN,5/14/2021,1154,N7728D,MCI,22:44
WN,5/14/2021,1157,N203WN,TPA,23:00
WN,5/14/2021,1191,N8657B,SLC,20:09
WN,5/14/2021,1197,N467WN,LIT,8:07
WN,5/14/2021,1208,N7857B,MEM,17:01
WN,5/14/2021,1230,N8565Z,PHX,16:47
WN,5/14/2021,1231,N8718Q,MSY,21:14
WN,5/14/2021,1250,N7720F,ORD,22:11
WN,5/14/2021,1273,N7845A,DCA,8:28
WN,5/14/2021,1328,N8641B,SAT,16:59
WN,5/14/2021,1330,N479WN,COS,13:24
WN,5/14/2021,1333,N8522P,MDW,7:35
WN,5/14/2021,1335,N218WN,FLL,15:51
WN,5/14/2021,1356,N405WN,COS,19:41
WN,5/14/2021,1361,N480WN,CHS,19:20
WN,5/14/2021,1382,N7839A,IND,13:47
WN,5/14/2021,1401,N200WN,SAT,13:27
WN,5/14/2021,1404,N200WN,IAH,17:19
WN,5/14/2021,1405,N7852A,MSY,11:43
WN,5/14/2021,1413,N274WN,SJC,22:39
WN,5/14/2021,1418,N558WN,LAS,13:53
WN,5/14/2021,1421,N8615E,AUS,14:41
WN,5/14/2021,1425,N8679A,MDW,22:32
WN,5/14/2021,1452,N8511K,MSY,7:30
WN,5/14/2021,1492,N8323C,SJC,16:40
WN,5/14/2021,1502,N8569Z,ATL,18:19
WN,5/14/2021,1547,N965WN,RNO,19:39
WN,5/14/2021,1557,N493WN,MCO,9:49
WN,5/14/2021,1563,N458WN,MIA,18:58
WN,5/14/2021,1570,N799SW,OAK,21:27
